"","PINK SALMON","CHUM SALMON","SOCKEYE SALMON","CHINOOK SALMON","EULACHON","WALLEYE POLLOCK","THREESPINE STICKLEBACK","PRICKLEBACKS","SNAKE PRICKLEBACK","PACIFIC SAND LANCE","KELP GREENLING","LINGCOD","PACIFIC LAMPREY (freshwater)","PACIFIC HERRING","DUMMY1","Amphipod","Barnacle","Calanoid","Cladoceran","Ctenophore","decapod","eggs","euphasiid","fish","insects","isopod","ostracod","polychaete","Sagittoid","trematode","tunicates","Unknown","cumacean","Miscellaneous","mollusc","mysiid","Nematode","cestoda","Pycnogonida","phytoplankton","DUMMY2"
"PINK SALMON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0.15,6.85,0.01,0.01,2.62,0.22,0.63,76.14,2.25,0,0.06,0.23,0.09,0,6.82,0,0,0,0,0,0,0,0,0,0
"CHUM SALMON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0.61,19.18,2.45,0.64,1.33,0.36,0.63,49.83,6.25,0.01,0.07,1.07,0.15,0,13.17,0,0.03,0.01,0.01,2.16,0.02,0,0,0,0
"SOCKEYE SALMON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.02,52.3,0.52,0,0.66,0,1.83,30.3,5.79,0.02,0.17,0.3,3.17,0,2.8,0,0,0.01,0,0,0,0.01,0,0,0
"CHINOOK SALMON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,6.29,0,0,1.11,0,0.75,88.99,2.34,0,0,0,0,0,0.25,0,0,0.01,0.06,0,0,0,0,0,0
"EULACHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0.03,87.96,0.6,0,2.55,3.51,0,0,0,0,0,0,0,0.53,1.33,0,0,0.73,0,0.33,1.11,0,0,0,0
"WALLEYE POLLOCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.01,0.01,0,0,36.97,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"THREESPINE STICKLEBACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0.01,66.65,0.01,0,0.64,0.08,1.98,1.53,2.23,0,0.01,0.31,1.66,0,18.32,0,0.05,0,0,0,0.32,0.32,0,0,0
"PRICKLEBACKS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.31,0,0,0,29.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNAKE PRICKLEBACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.86,0,0,0,17.93,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"PACIFIC SAND LANCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,47.32,1.45,0,0.51,14.12,0.14,10.07,0,0,0.02,1.58,0,0.04,24.63,0,0,0.04,0,0.03,0,0,0,0,0
"KELP GREENLING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,76.1,0.73,0,0.4,2.19,0.47,5.41,0,1.17,0.65,0,0,0,8.22,0,0,0,0,0,2.61,0,0,0,0
"LINGCOD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,76.13,0,0,0.12,10.01,0.26,13.37,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"PACIFIC LAMPREY (freshwater)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,87.99,1.82,0,0,8.87,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PACIFIC HERRING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.04,68.82,1.18,0,3.51,9.77,5.88,6.22,0.05,0,0.09,0.16,0,0.02,2.04,0,0.01,0,0,0.01,0.02,0,0,0,0
"DUMMY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphipod",3.92,2.01,2.1,0.19,1.33,0,5.88,0,0,0.04,2.04,0.09,1.2,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnacle",0.15,0.61,0.02,0,0.03,0,0.01,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calanoid",6.85,19.18,52.3,6.29,87.96,63.01,66.65,70.31,81.86,47.32,76.1,76.13,87.99,68.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cladoceran",0.01,2.45,0.52,0,0.6,0.01,0.01,0,0,1.45,0.73,0,1.82,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenophore",0.01,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"decapod",2.62,1.33,0.66,1.11,2.55,0,0.64,0,0,0.51,0.4,0.12,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eggs",0.22,0.36,0,0,3.51,36.97,0.08,29.69,17.93,14.12,2.19,10.01,8.87,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"euphasiid",0.63,0.63,1.83,0.75,0,0,1.98,0,0,0.14,0.47,0.26,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish",76.14,49.83,30.3,88.99,0,0,1.53,0,0,10.07,5.41,13.37,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"insects",2.25,6.25,5.79,2.34,0,0,2.23,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isopod",0,0.01,0.02,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ostracod",0.06,0.07,0.17,0,0,0,0.01,0,0,0.02,0.65,0,0.12,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"polychaete",0.23,1.07,0.3,0,0,0,0.31,0,0,1.58,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sagittoid",0.09,0.15,3.17,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trematode",0,0,0,0,0.53,0.01,0,0,0.2,0.04,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tunicates",6.82,13.17,2.8,0.25,1.33,0,18.32,0,0,24.63,8.22,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumacean",0,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miscellaneous",0,0.01,0.01,0.01,0.73,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mollusc",0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mysiid",0,2.16,0,0,0.33,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nematode",0,0.02,0,0,1.11,0,0.32,0,0,0,2.61,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cestoda",0,0,0.01,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUMMY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
